Day,State,Status,N
4,SA,NoSymp,23
4,SA,InSymp,13
4,SA,Critic,0
4,SA,Isolated,0
4,TAS,Killed,13
4,TAS,Healed,162
4,TAS,Suscep,459817
4,TAS,NoSymp,285
4,TAS,InSymp,84
4,TAS,Critic,5
4,TAS,Isolated,0
4,ACT,Killed,3
4,ACT,Healed,103
4,ACT,Suscep,183832
4,ACT,NoSymp,0
4,ACT,InSymp,0
4,ACT,Critic,0
4,ACT,Isolated,0
4,NT,Killed,0
4,NT,Healed,25
4,NT,Suscep,359538
4,NT,NoSymp,11
4,NT,InSymp,9
4,NT,Critic,0
4,NT,Isolated,0
4,OTH,Killed,0
4,OTH,Healed,0
4,OTH,Suscep,3246
4,OTH,NoSymp,0
4,OTH,InSymp,0
4,OTH,Critic,0
4,OTH,Isolated,0
5,NSW,Killed,42
5,NSW,Healed,2383
5,NSW,Suscep,6858682
5,NSW,NoSymp,3267
5,NSW,InSymp,1214
5,NSW,Critic,102
5,NSW,Isolated,0
5,VIC,Killed,18
5,VIC,Healed,1305
5,VIC,Suscep,5451013
5,VIC,NoSymp,402
5,VIC,InSymp,118
5,VIC,Critic,8
5,VIC,Isolated,0
5,QLD,Killed,6
5,QLD,Healed,980
5,QLD,Suscep,4255878
5,QLD,NoSymp,384
5,QLD,InSymp,89
5,QLD,Critic,11
5,QLD,Isolated,0
5,WA,Killed,9
5,WA,Healed,526
5,WA,Suscep,1541165
5,WA,NoSymp,53
5,WA,InSymp,34
5,WA,Critic,0
5,WA,Isolated,0
5,SA,Killed,4
5,SA,Healed,427
5,SA,Suscep,2239594
5,SA,NoSymp,25
5,SA,InSymp,13
5,SA,Critic,0
5,SA,Isolated,0
5,TAS,Killed,13
5,TAS,Healed,162
5,TAS,Suscep,459800
5,TAS,NoSymp,299
5,TAS,InSymp,87
5,TAS,Critic,5
5,TAS,Isolated,0
5,ACT,Killed,3
5,ACT,Healed,103
5,ACT,Suscep,183832
5,ACT,NoSymp,0
5,ACT,InSymp,0
5,ACT,Critic,0
5,ACT,Isolated,0
5,NT,Killed,0
5,NT,Healed,25
5,NT,Suscep,359538
5,NT,NoSymp,11
5,NT,InSymp,9
5,NT,Critic,0
5,NT,Isolated,0
5,OTH,Killed,0
5,OTH,Healed,0
5,OTH,Suscep,3246
5,OTH,NoSymp,0
5,OTH,InSymp,0
5,OTH,Critic,0
5,OTH,Isolated,0
6,NSW,Killed,42
6,NSW,Healed,2424
6,NSW,Suscep,6858188
6,NSW,NoSymp,3496
6,NSW,InSymp,1414
6,NSW,Critic,126
6,NSW,Isolated,0
6,VIC,Killed,18
6,VIC,Healed,1307
6,VIC,Suscep,5450858
6,VIC,NoSymp,539
6,VIC,InSymp,133
6,VIC,Critic,9
6,VIC,Isolated,0
6,QLD,Killed,6
6,QLD,Healed,983
6,QLD,Suscep,4255868
6,QLD,NoSymp,366
6,QLD,InSymp,113
6,QLD,Critic,12
6,QLD,Isolated,0
6,WA,Killed,9
6,WA,Healed,526
6,WA,Suscep,1541164
6,WA,NoSymp,50
6,WA,InSymp,37
6,WA,Critic,1
6,WA,Isolated,0
6,SA,Killed,4
6,SA,Healed,427
6,SA,Suscep,2239591
6,SA,NoSymp,27
6,SA,InSymp,13
6,SA,Critic,1
6,SA,Isolated,0
6,TAS,Killed,13
6,TAS,Healed,166
6,TAS,Suscep,459757
6,TAS,NoSymp,318
6,TAS,InSymp,106
6,TAS,Critic,6
6,TAS,Isolated,0
6,ACT,Killed,3
6,ACT,Healed,103
6,ACT,Suscep,183832
6,ACT,NoSymp,0
6,ACT,InSymp,0
6,ACT,Critic,0
6,ACT,Isolated,0
6,NT,Killed,0
6,NT,Healed,25
6,NT,Suscep,359538
6,NT,NoSymp,11
6,NT,InSymp,9
6,NT,Critic,0
6,NT,Isolated,0
6,OTH,Killed,0
6,OTH,Healed,0
6,OTH,Suscep,3246
6,OTH,NoSymp,0
6,OTH,InSymp,0
6,OTH,Critic,0
6,OTH,Isolated,0
7,NSW,Killed,42
7,NSW,Healed,2483
7,NSW,Suscep,6857784
7,NSW,NoSymp,3496
7,NSW,InSymp,1731
7,NSW,Critic,154
7,NSW,Isolated,0
7,VIC,Killed,18
7,VIC,Healed,1317
7,VIC,Suscep,5450661
7,VIC,NoSymp,692
7,VIC,InSymp,164
7,VIC,Critic,12
7,VIC,Isolated,0
7,QLD,Killed,6
7,QLD,Healed,986
7,QLD,Suscep,4255863
7,QLD,NoSymp,331
7,QLD,InSymp,149
7,QLD,Critic,13
7,QLD,Isolated,0
7,WA,Killed,9
7,WA,Healed,527
7,WA,Suscep,1541163
7,WA,NoSymp,43
7,WA,InSymp,43
7,WA,Critic,2
7,WA,Isolated,0
7,SA,Killed,4
7,SA,Healed,428
7,SA,Suscep,2239590
7,SA,NoSymp,24
7,SA,InSymp,16
7,SA,Critic,1
7,SA,Isolated,0
7,TAS,Killed,13
7,TAS,Healed,171
7,TAS,Suscep,459690
7,TAS,NoSymp,340
7,TAS,InSymp,142
7,TAS,Critic,10
7,TAS,Isolated,0
7,ACT,Killed,3
7,ACT,Healed,103
7,ACT,Suscep,183832
7,ACT,NoSymp,0
7,ACT,InSymp,0
7,ACT,Critic,0
7,ACT,Isolated,0
7,NT,Killed,0
7,NT,Healed,25
7,NT,Suscep,359538
7,NT,NoSymp,9
7,NT,InSymp,11
7,NT,Critic,0
7,NT,Isolated,0
7,OTH,Killed,0
7,OTH,Healed,0
7,OTH,Suscep,3246
7,OTH,NoSymp,0
7,OTH,InSymp,0
7,OTH,Critic,0
7,OTH,Isolated,0
8,NSW,Killed,42
8,NSW,Healed,2557
8,NSW,Suscep,6857239
8,NSW,NoSymp,3484
8,NSW,InSymp,2124
8,NSW,Critic,180
8,NSW,Isolated,64
8,VIC,Killed,18
8,VIC,Healed,1322
8,VIC,Suscep,5450479
8,VIC,NoSymp,800
8,VIC,InSymp,220
8,VIC,Critic,16
8,VIC,Isolated,9
8,QLD,Killed,7
8,QLD,Healed,990
8,QLD,Suscep,4255808
8,QLD,NoSymp,329
8,QLD,InSymp,185
8,QLD,Critic,15
8,QLD,Isolated,14
8,WA,Killed,9
8,WA,Healed,530
8,WA,Suscep,1541159
8,WA,NoSymp,40
8,WA,InSymp,46
8,WA,Critic,2
8,WA,Isolated,1
8,SA,Killed,4
8,SA,Healed,428
8,SA,Suscep,2239590
8,SA,NoSymp,18
8,SA,InSymp,21
8,SA,Critic,2
8,SA,Isolated,0
8,TAS,Killed,13
8,TAS,Healed,173
8,TAS,Suscep,459642
8,TAS,NoSymp,351
8,TAS,InSymp,168
8,TAS,Critic,11
8,TAS,Isolated,8
8,ACT,Killed,3
8,ACT,Healed,103
8,ACT,Suscep,183832
8,ACT,NoSymp,0
8,ACT,InSymp,0
8,ACT,Critic,0
8,ACT,Isolated,0
8,NT,Killed,0
8,NT,Healed,25
8,NT,Suscep,359537
8,NT,NoSymp,5
8,NT,InSymp,12
8,NT,Critic,0
8,NT,Isolated,4
8,OTH,Killed,0
8,OTH,Healed,0
8,OTH,Suscep,3246
8,OTH,NoSymp,0
8,OTH,InSymp,0
8,OTH,Critic,0
8,OTH,Isolated,0
9,NSW,Killed,42
9,NSW,Healed,2669
9,NSW,Suscep,6856852
9,NSW,NoSymp,3159
9,NSW,InSymp,2385
9,NSW,Critic,210
9,NSW,Isolated,373
9,VIC,Killed,18
9,VIC,Healed,1328
9,VIC,Suscep,5450358
9,VIC,NoSymp,849
9,VIC,InSymp,260
9,VIC,Critic,19
9,VIC,Isolated,32
9,QLD,Killed,7
9,QLD,Healed,998
9,QLD,Suscep,4255779
9,QLD,NoSymp,285
9,QLD,InSymp,217
9,QLD,Critic,24
9,QLD,Isolated,38
9,WA,Killed,9
9,WA,Healed,533
9,WA,Suscep,1541158
9,WA,NoSymp,33
9,WA,InSymp,47
9,WA,Critic,5
9,WA,Isolated,2
9,SA,Killed,4
9,SA,Healed,428
9,SA,Suscep,2239585
9,SA,NoSymp,19
9,SA,InSymp,25
9,SA,Critic,2
9,SA,Isolated,0
9,TAS,Killed,13
9,TAS,Healed,183
9,TAS,Suscep,459578
9,TAS,NoSymp,330
9,TAS,InSymp,201
9,TAS,Critic,14
9,TAS,Isolated,47
9,ACT,Killed,3
9,ACT,Healed,103
9,ACT,Suscep,183832
9,ACT,NoSymp,0
9,ACT,InSymp,0
9,ACT,Critic,0
9,ACT,Isolated,0
9,NT,Killed,0
