Census year,Block ID,Property ID,Base property ID,Street address,CLUE small area,Trading name,Industry (ANZSIC4) code,Industry (ANZSIC4) description,Seating type,Number of seats,x coordinate,y coordinate,Location
2018,66,520597,520597,234 Little Bourke Street,Melbourne (CBD),Yang's Braised Chicken Rice,4511,Cafes and Restaurants,Seats - Indoor,70,144.96587,-37.81222,"(-37.81222182, 144.9658722)"
2018,66,109435,109435,23-25 Tattersalls Lane,Melbourne (CBD),Shanghai Dumpling Restaurant,4511,Cafes and Restaurants,Seats - Indoor,195,144.96544,-37.81186,"(-37.81186417, 144.9654375)"
2018,66,105878,105878,242-244 Little Bourke Street,Melbourne (CBD),By Korea,4511,Cafes and Restaurants,Seats - Indoor,38,144.96559,-37.81214,"(-37.81214275, 144.9655866)"
2018,15,103326,103326,281-291 Flinders Lane,Melbourne (CBD),Migo's,4511,Cafes and Restaurants,Seats - Indoor,24,144.96494,-37.81719,"(-37.81718671, 144.9649355)"
2018,46,101131,101131,201-203 Bourke Street,Melbourne (CBD),KFC,4511,Cafes and Restaurants,Seats - Indoor,50,144.96753,-37.81324,"(-37.81323955, 144.9675263)"
2018,74,103205,103205,303-305 Elizabeth Street,Melbourne (CBD),Easy Pot,4511,Cafes and Restaurants,Seats - Indoor,94,144.96160,-37.81155,"(-37.8115513, 144.9615988)"
2018,64,104377,104377,10-12 Goldie Place,Melbourne (CBD),Rare Steakhouse Midtown,4511,Cafes and Restaurants,Seats - Indoor,90,144.96078,-37.81339,"(-37.81338546, 144.9607768)"
2018,66,105881,105881,214-216 Little Bourke Street,Melbourne (CBD),Mao Please,4511,Cafes and Restaurants,Seats - Indoor,120,144.96622,-37.81204,"(-37.81203979, 144.9662184)"
2018,65,109290,109290,237 Swanston Street,Melbourne (CBD),Tina's Noodle Kitchen,4511,Cafes and Restaurants,Seats - Indoor,80,144.96480,-37.81245,"(-37.81244688, 144.9648042)"
2018,65,109290,109290,237 Swanston Street,Melbourne (CBD),Tina's Noodle Kitchen,4511,Cafes and Restaurants,Seats - Outdoor,16,144.96480,-37.81245,"(-37.81244688, 144.9648042)"
2018,14,103946,103946,313-315 Flinders Lane,Melbourne (CBD),Randy Dragon,4520,"Pubs, Taverns and Bars",Seats - Indoor,60,144.96385,-37.81764,"(-37.81763876, 144.9638509)"
2018,74,105738,105738,394-400 Lonsdale Street,Melbourne (CBD),Hash Specialty Coffee And Roasters,4511,Cafes and Restaurants,Seats - Indoor,70,144.96053,-37.81241,"(-37.81240779, 144.9605307)"
2018,74,105738,105738,394-400 Lonsdale Street,Melbourne (CBD),Hash Specialty Coffee And Roasters,4511,Cafes and Restaurants,Seats - Outdoor,10,144.96053,-37.81241,"(-37.81240779, 144.9605307)"
2018,74,105742,105742,364-372 Lonsdale Street,Melbourne (CBD),Zam Zam Restaurant,4511,Cafes and Restaurants,Seats - Indoor,55,144.96147,-37.81216,"(-37.81216332, 144.9614727)"
2018,74,105742,105742,364-372 Lonsdale Street,Melbourne (CBD),Bread Kingdom,1174,Bakery Product Manufacturing (Non-factory based),Seats - Indoor,10,144.96147,-37.81216,"(-37.81216332, 144.9614727)"
2018,74,105742,105742,364-372 Lonsdale Street,Melbourne (CBD),Bread Kingdom,1174,Bakery Product Manufacturing (Non-factory based),Seats - Outdoor,8,144.96147,-37.81216,"(-37.81216332, 144.9614727)"
