Census year,Block ID,Property ID,Base property ID,Street address,CLUE small area,Trading name,Number of patrons,x coordinate,y coordinate,Location
2018,43,108069,108069,131-141 Queen Street,Melbourne (CBD),The Turf Bar & Restaurant,527,144.96053,-37.81550,"(-37.81549538, 144.9605337)"
2018,12,103994,103994,502-504 Flinders Street,Melbourne (CBD),Insignia on Flinders,100,144.95766,-37.82006,"(-37.82005642, 144.9576564)"
2018,33,105937,105937,435-443 Little Collins Street,Melbourne (CBD),Marrakech Bar,200,144.96009,-37.81640,"(-37.81639571, 144.9600894)"
2018,33,100727,100727,5-9 Bank Place,Melbourne (CBD),Mitre Tavern,300,144.96029,-37.81680,"(-37.81680411, 144.9602928)"
2018,33,100730,100730,12-16 Bank Place,Melbourne (CBD),Melbourne Savage Club,90,144.96058,-37.81655,"(-37.81654513, 144.9605769)"
2018,33,105936,105936,433 Little Collins Street,Melbourne (CBD),Dikstein's Corner Bar,145,144.96034,-37.81631,"(-37.81631059, 144.9603418)"
2018,33,102124,102124,430-442 Collins Street,Melbourne (CBD),The Mug House,80,144.95976,-37.81703,"(-37.81703245, 144.9597617)"
2018,52,592048,592048,188-202 King Street,Melbourne (CBD),La Di Da,458,144.95562,-37.81551,"(-37.81551339, 144.9556242)"
2018,23,102098,102098,415-417 Collins Street,Melbourne (CBD),The Sherlock Holmes Inn,131,144.96087,-37.81747,"(-37.81746763, 144.9608683)"
2018,11,103984,103984,566-580 Flinders Street,Melbourne (CBD),UBar,98,144.95534,-37.82071,"(-37.82071127, 144.9553429)"
2018,43,108068,108068,111-129 Queen Street,Melbourne (CBD),CitiClub On Queen Hotel,940,144.96063,-37.81581,"(-37.81581229, 144.9606335)"
2018,11,108971,108971,561-585 Flinders Lane,Melbourne (CBD),Holiday Inn On Flinders Melbourne,100,144.95520,-37.82020,"(-37.82020005, 144.9551961)"
2018,33,110148,110148,98-110 William Street,Melbourne (CBD),The Australian Club,280,144.95912,-37.81675,"(-37.81674635, 144.959122)"
2018,33,105933,105933,425-427 Little Collins Street,Melbourne (CBD),The Irish Times,170,144.96054,-37.81625,"(-37.81625453, 144.9605355)"
2018,53,110145,110145,170-176 William Street,Melbourne (CBD),Cafe Lavita On William,50,144.95823,-37.81492,"(-37.81491755, 144.9582279)"
2018,51,108963,108963,672-696 Bourke Street,Melbourne (CBD),Mail Exchange Hotel,600,144.95359,-37.81663,"(-37.81663059, 144.9535902)"
2018,23,102099,102099,419-429 Collins Street,Melbourne (CBD),Ms Collins,850,144.96065,-37.81753,"(-37.81752824, 144.9606534)"
2018,103,104086,104086,211-213 Franklin Street,Melbourne (CBD),Island Somewhere,120,144.95784,-37.80973,"(-37.80972743, 144.9578404)"
2018,42,105392,105392,120-138 King Street,Melbourne (CBD),El Coco,500,144.95641,-37.81703,"(-37.81703253, 144.9564073)"
2018,12,105399,105399,26-32 King Street,Melbourne (CBD),Clique Bar,222,144.95747,-37.81953,"(-37.81952905, 144.957466)"
2018,43,101154,101154,483-501 Bourke Street,Melbourne (CBD),RACV City Club,410,144.95958,-37.81588,"(-37.81588158, 144.9595844)"
2018,71,105318,105318,277-287 King Street,Melbourne (CBD),Hotel Sophia,116,144.95420,-37.81368,"(-37.81367559, 144.9541999)"
2018,61,105308,105308,203-207 King Street,Melbourne (CBD),Bar Humbug,30,144.95497,-37.81539,"(-37.81538872, 144.954969)"
2018,61,105716,105716,597-603 Lonsdale Street,Melbourne (CBD),The Men's Gallery,675,144.95449,-37.81493,"(-37.81493032, 144.9544917)"
2018,21,606461,606461,607-623 Collins Street,Melbourne (CBD),Batman's Hill On Collins Hotel,1500,144.95469,-37.81929,"(-37.81929243, 144.9546898)"
2018,1110,593739,593739,99-127 Pearl River Road,Docklands,Igloo Cafe & St Moritz Bar,100,144.93563,-37.81224,"(-37.8122375, 144.9356315)"
2018,1103,558180,558180,122-148 Harbour Esplanade,Docklands,Legends Bar,250,144.94747,-37.81674,"(-37.81674198, 144.9474724)"
2018,131,108844,108844,1-5 Spencer Street,Docklands,Crown Plaza,60,144.95501,-37.82260,"(-37.82260257, 144.9550088)"
2018,1103,558180,558180,122-148 Harbour Esplanade,Docklands,The Medallion Club,5000,144.94747,-37.81674,"(-37.81674198, 144.9474724)"
2018,1103,558180,558180,122-148 Harbour Esplanade,Docklands,Locker Room Club Bar,500,144.94747,-37.81674,"(-37.81674198, 144.9474724)"
2018,1112,103982,103982,705-729 Flinders Street,Docklands,The Flying Angel Club,200,144.95125,-37.82247,"(-37.8224727, 144.951253)"
2018,1105,640970,640970,14-24 Batmans Hill Drive,Docklands,Hightail,900,144.94985,-37.82133,"(-37.8213316, 144.9498537)"
2018,1108,604125,604125,143-175 Harbour Esplanade,Docklands,Mama Rumaan,60,144.94334,-37.81649,"(-37.81648918, 144.9433368)"
2018,1108,604125,604125,143-175 Harbour Esplanade,Docklands,Alumbra,690,144.94334,-37.81649,"(-37.81648918, 144.9433368)"
2018,1109,601809,593728,425-427 Docklands Drive,Docklands,Waterfront Venues Melbourne,1059,144.93921,-37.81524,"(-37.81524407, 144.939206)"
2018,1109,560004,560004,24-42 Newquay Promenade,Docklands,Solidaire Victoria,321,144.94215,-37.81436,"(-37.8143613, 144.94215)"
2018,1105,628712,628712,717-731 Collins Street,Docklands,Bar Nicional,75,144.95008,-37.82071,"(-37.82070657, 144.9500845)"
2018,1101,108973,108973,85-161 Spencer Street,Docklands,Network Public Bar & Pizzeria,325,144.95223,-37.81761,"(-37.81761091, 144.9522269)"
2018,1103,558180,558180,122-148 Harbour Esplanade,Docklands,E J Whitten Bar,70,144.94747,-37.81674,"(-37.81674198, 144.9474724)"
2018,1104,576024,576023,747-757 Bourke Street,Docklands,The Nixon Hotel,300,144.94780,-37.81938,"(-37.81938088, 144.9477997)"
2018,613,595153,109643,166 Albert Street,East Melbourne,Cohen Cellars Wine Bar,40,144.98562,-37.81005,"(-37.81004733, 144.9856247)"
2018,658,110266,110266,120 Brunton Avenue,East Melbourne,Spotless Services,2800,144.98312,-37.82001,"(-37.82000693, 144.9831243)"
2018,2530,616160,616160,265-271 Racecourse Road,Kensington,The Quiet Man Irishman  Pub,400,144.93236,-37.78861,"(-37.788611, 144.9323646)"
2018,2530,616125,616125,25-27 Rankins Road,Kensington,Flemington & Kensington RSL Club,90,144.93220,-37.78932,"(-37.78932235, 144.9321951)"
2018,508,100820,100820,38-44 Barrett Street,Kensington,Henry St Brewhouse,75,144.93434,-37.79810,"(-37.79810341, 144.9343395)"
2018,345,103402,103402,33 Errol Street,North Melbourne,Townhall Hotel North Melbourne,80,144.94896,-37.80413,"(-37.80412704, 144.9489597)"
2018,377,102236,102236,56-58 Courtney Street,North Melbourne,The Castle Hotel,317,144.95303,-37.80090,"(-37.80089834, 144.9530344)"
2018,327,102352,102352,171-173 Curzon Street,North Melbourne,Albion Hotel,100,144.94855,-37.79890,"(-37.79889874, 144.9485502)"
2018,345,103393,103393,7 Errol Street,North Melbourne,Joe Taylor,60,144.94901,-37.80480,"(-37.80479713, 144.9490137)"
2018,369,103507,103507,86-90 Errol Street,North Melbourne,The Courthouse Hotel,50,144.94996,-37.80288,"(-37.80287774, 144.9499555)"
2018,358,109829,109829,312-316 Victoria Street,North Melbourne,Victoria Hotel,130,144.95570,-37.80563,"(-37.80563234, 144.955705)"
2018,361,109842,109842,240-248 Victoria Street,North Melbourne,Central Club Hotel,150,144.95814,-37.80591,"(-37.80591123, 144.9581357)"
2018,362,109843,109843,232-238 Victoria Street,North Melbourne,The Last Chance Rock & Roll Bar,180,144.95859,-37.80593,"(-37.80593324, 144.9585872)"
2018,358,107887,107887,351-359 Queensberry Street,North Melbourne,Bobbie Peels,240,144.95597,-37.80396,"(-37.80395598, 144.9559674)"
2018,355,105636,105636,46-50 Leveson Street,North Melbourne,The Leveson,400,144.95146,-37.80370,"(-37.80370019, 144.9514593)"
2018,376,508976,110862,42 Courtney Street,North Melbourne,Metropolitan Hotel,100,144.95400,-37.80143,"(-37.80143002, 144.9540002)"
2018,347,110920,110920,161-163 Errol Street,North Melbourne,Limerick Castle Hotel & Restaurant,50,144.94964,-37.80116,"(-37.80115795, 144.9496362)"
2018,270,579293,104468,230 Grattan Street,Parkville,University House Club,611,144.96118,-37.79688,"(-37.79688289, 144.9611833)"
2018,904,556742,556742,419-443 Royal Parade,Parkville,Vibe Hotel,69,144.95881,-37.78290,"(-37.78289819, 144.958807)"
2018,270,664626,104468,230 Grattan Street,Parkville,The Ida Bar,200,144.96118,-37.79688,"(-37.79688289, 144.9611833)"
2018,730,110473,110473,65-73 Haig Street,Southbank,The Backlot Studios,78,144.95657,-37.82789,"(-37.82788536, 144.9565704)"
2018,753,110606,110380,3 Southgate Avenue,Southbank,P J O'Briens Irish Pub & Side Bar,549,144.96630,-37.82072,"(-37.82071819, 144.9663043)"
2018,804,110542,110484,20-30 Convention Centre Place,Southbank,Aerial Events,900,144.95245,-37.82543,"(-37.82542999, 144.9524499)"
2018,804,110988,110988,29-65 South Wharf Promenade,Southbank,Plus 5,90,144.95042,-37.82411,"(-37.82411174, 144.9504151)"
2018,804,110988,110988,29-65 South Wharf Promenade,Southbank,Munich Brau Haus,1100,144.95042,-37.82411,"(-37.82411174, 144.9504151)"
2018,801,110326,110326,4 Riverside Quay,Southbank,Soho Restaurant & Bar,200,144.96338,-37.82092,"(-37.82092447, 144.9633819)"
2018,801,559161,559161,3-7 Riverside Quay,Southbank,Belgian Beer Cafe Melbourne,638,144.96454,-37.82169,"(-37.82168938, 144.9645387)"
